"germination_position_ID","germination_seedling_ID","species","functional_group","date_measurement","date_sowing","collector","seed_origin","height_vegetative_str","leaf_length1","leaf_length2","leaf_length3","number_leaves","dry_mass"
"CHE.hi.exp2.warm.vege.01.080","CHE.hi.exp2.warm.vege.01.080.1","cenjac","forb",2023-09-04,2022-10-10,"EI","commercial",24,23,22,NA,2,0.0012
"CHE.hi.exp2.warm.vege.01.096","CHE.hi.exp2.warm.vege.01.096.1","cenjac","forb",2023-09-04,2022-10-10,"EI","commercial",29,27,22,13,3,0.003
"CHE.hi.exp2.warm.bare.01.017","CHE.hi.exp2.warm.bare.01.017.1","daucar","forb",2023-09-05,2022-10-10,"EI","collected",24,23,23,21,5,0.0314
"CHE.hi.exp2.warm.bare.01.020","CHE.hi.exp2.warm.bare.01.020.1","daucar","forb",2023-09-05,2022-10-10,"EI","collected",32,30,32,27,4,0.0187
"CHE.hi.exp2.warm.bare.01.062","CHE.hi.exp2.warm.bare.01.062.2","daucar","forb",2023-09-05,2022-10-10,"EI","collected",40,38,37,37,6,0.0271
"CHE.hi.exp2.warm.bare.01.082","CHE.hi.exp2.warm.bare.01.082.1","daucar","forb",2023-09-05,2022-10-10,"EI","collected",40,36,35,30,7,0.0638
"CHE.hi.exp2.warm.bare.01.059","CHE.hi.exp2.warm.bare.01.059.1","daucar","forb",2023-09-05,2022-10-10,"EI","collected",56,52,51,45,5,0.064
"CHE.hi.exp2.warm.bare.01.062","CHE.hi.exp2.warm.bare.01.062.1","daucar","forb",2023-09-05,2022-10-10,"EI","collected",72,72,70,64,6,0.1366
"CHE.hi.exp2.warm.bare.01.104","CHE.hi.exp2.warm.bare.01.104.1","daucar","forb",2023-09-05,2022-10-10,"EI","collected",28,27,21,22,6,0.012
"CHE.hi.exp2.warm.vege.01.009","CHE.hi.exp2.warm.vege.01.009.1","plamed","forb",2023-09-04,2022-10-10,"EI","collected",12,6,10,5,3,3e-04
"CHE.hi.exp2.warm.vege.01.021","CHE.hi.exp2.warm.vege.01.021.1","plamed","forb",2023-09-04,2022-10-10,"EI","collected",8,7,4,2,3,2e-04
"CHE.hi.exp2.warm.vege.01.066","CHE.hi.exp2.warm.vege.01.066.1","plamed","forb",2023-09-04,2022-10-10,"EI","collected",10,9,7,4,3,2e-04
"CHE.hi.exp2.warm.vege.01.045","CHE.hi.exp2.warm.vege.01.045.1","plamed","forb",2023-09-04,2022-10-10,"EI","collected",13,10,11,7,4,6e-04
"CHE.hi.exp2.warm.vege.01.087","CHE.hi.exp2.warm.vege.01.087.1","plamed","forb",2023-09-04,2022-10-10,"EI","collected",13,11,10,NA,2,2e-04
"CHE.hi.exp2.warm.vege.01.093","CHE.hi.exp2.warm.vege.01.093.1","plamed","forb",2023-09-04,2022-10-10,"EI","collected",11,11,NA,NA,1,NA
"CHE.hi.exp2.warm.vege.01.108","CHE.hi.exp2.warm.vege.01.108.2","plamed","forb",2023-09-04,2022-10-10,"EI","collected",9,7,7,NA,2,NA
"CHE.hi.exp2.warm.vege.01.108","CHE.hi.exp2.warm.vege.01.108.1","plamed","forb",2023-09-04,2022-10-10,"EI","collected",12,10,7,NA,2,NA
"CHE.hi.exp2.warm.bare.01.123","CHE.hi.exp2.warm.bare.01.123.1","brapin","graminoid",2023-09-05,2022-10-10,"EI","collected",28,20,21,18,4,0.0062
"CHE.hi.exp2.warm.bare.01.123","CHE.hi.exp2.warm.bare.01.123.2","brapin","graminoid",2023-09-05,2022-10-10,"EI","collected",24,18,10,6,4,0.0035
"CHE.hi.exp2.warm.bare.01.051","CHE.hi.exp2.warm.bare.01.051.1","plamed","forb",2023-09-05,2022-10-10,"EI","collected",6,6,5,6,6,0.009
