unique_plant_ID,species,functional_group,date_measurement,date_planting,collector,survival,flower_status,biomass_comb,number_seeds,height_vegetative_str,number_leaves,year
CHE.lo.ambi.bare.wf.06.06.3,scacol,forb,2021-08-16,2021-06-24,PS,1,0,0.45155303097098476,0,95,13,2021
CHE.lo.ambi.bare.wf.06.07.2,broere,graminoid,2021-08-16,2021-06-22,PS,1,0,0.33538004033738267,0,184,28,2021
CHE.lo.ambi.bare.wf.06.08.2,brapin,graminoid,2021-08-16,2021-06-22,PS,1,0,0.13493760211945535,0,114,22,2021
CHE.lo.ambi.bare.wf.06.09.2,medlup,legume,2021-08-16,2021-06-22,PS,1,0,0.44705821601480217,0,29,46,2021
CHE.lo.ambi.bare.wf.06.10.2,plamed,forb,2021-08-16,2021-06-22,PS,1,0,0.5889459729306548,0,45,12,2021
CHE.lo.ambi.bare.wf.06.11.2,silvul,forb,2021-08-16,2021-06-22,PS,1,1,1.8012483170836613,1647.8,116,232,2021
CHE.lo.ambi.bare.wf.06.12.2,daucar,forb,2021-08-16,2021-06-22,PS,1,0,0.5629249481375788,0,156,8,2021
CHE.lo.ambi.bare.wf.06.13.2,daucar,forb,2021-08-16,2021-06-22,PS,1,0,1.0031029296659917,0,191,10,2021
CHE.lo.ambi.bare.wf.06.14.2,cenjac,forb,2021-08-16,2021-06-22,PS,1,1,1.5443069579435675,62.4,229,52,2021
CHE.lo.ambi.bare.wf.06.15.2,hypper,forb,2021-08-16,2021-06-22,PS,1,0,1.3156485615210638,0,116,448,2021
CHE.lo.ambi.bare.wf.06.16.2,brapin,graminoid,2021-08-16,2021-06-22,PS,1,0,0.45339669241471026,0,250,31,2021
CHE.lo.ambi.bare.wf.06.17.1,plamed,forb,2021-08-16,2021-06-16,PS,1,0,1.1184126186509837,0,64,11,2021
CHE.lo.ambi.bare.wf.06.18.2,hypper,forb,2021-08-16,2021-06-22,PS,1,0,0.6497323254469589,0,165,195,2021
CHE.lo.ambi.bare.wf.06.19.2,salpra,forb,2021-08-16,2021-06-22,PS,1,0,0.2753655727201323,0,78,9,2021
CHE.lo.ambi.bare.wf.06.20.2,silvul,forb,2021-08-16,2021-06-22,PS,1,1,NA,NA,147,244,2021
CHE.lo.ambi.bare.wf.06.21.1,medlup,legume,2021-08-16,2021-06-16,PS,1,1,0.7396040529404676,456,142,75,2021
CHE.lo.ambi.bare.wf.06.22.2,silvul,forb,2021-08-16,2021-06-22,PS,1,1,3.603224640996949,898.8,216,292,2021
CHE.lo.ambi.bare.wf.06.23.3,scacol,forb,2021-08-16,2021-06-24,PS,1,0,1.1137585526430946,0,80,34,2021
CHE.lo.ambi.bare.wf.06.24.3,scacol,forb,2021-08-16,2021-06-24,PS,1,0,0.7888021558238255,0,75,39,2021
CHE.lo.ambi.bare.wf.06.25.2,cenjac,forb,2021-08-16,2021-06-22,PS,1,0,0.6228473470348507,0,139,20,2021
CHE.lo.ambi.bare.wf.06.26.2,salpra,forb,2021-08-16,2021-06-22,PS,1,0,0.4090093523183088,0,66,15,2021
CHE.lo.ambi.bare.wf.06.27.2,medlup,legume,2021-08-16,2021-06-22,PS,1,1,0.7683472384406999,787.6363636363636,104,88,2021
CHE.lo.ambi.bare.wf.06.28.1,salpra,forb,2021-08-16,2021-06-16,PS,1,0,0.3218286098838745,0,74,11,2021
CHE.lo.ambi.bare.wf.06.29.2,plamed,forb,2021-08-16,2021-06-22,PS,1,0,0.8598080662079252,0,58,12,2021
CHE.lo.ambi.bare.wf.06.30.2,cenjac,forb,2021-08-16,2021-06-22,PS,1,0,0.3739316637622082,0,125,15,2021
CHE.lo.ambi.bare.wf.05.01.2,brapin,graminoid,2021-08-16,2021-06-21,CB,1,0,0.2804753760498999,0,152,31,2021
CHE.lo.ambi.bare.wf.05.02.2,daucar,forb,2021-08-16,2021-06-21,CB,1,0,0.8602967992962693,0,190,9,2021
CHE.lo.ambi.bare.wf.05.03.3,broere,graminoid,NA,2021-09-22,NA,NA,NA,NA,NA,NA,NA,2021
CHE.lo.ambi.bare.wf.05.04.2,broere,graminoid,2021-08-16,2021-06-21,CB,1,0,0.43553078937980305,0,212,34,2021
CHE.lo.ambi.bare.wf.05.05.2,hypper,forb,2021-08-16,2021-06-21,CB,1,0,2.7764546663281595,0,192,650,2021
CHE.lo.ambi.bare.wf.05.06.3,scacol,forb,2021-08-16,2021-06-24,CB,1,0,0.7870859810204026,0,96,19,2021
CHE.lo.ambi.bare.wf.05.07.2,broere,graminoid,2021-08-16,2021-06-21,CB,0,NA,NA,NA,NA,NA,2021
CHE.lo.ambi.bare.wf.05.08.3,brapin,graminoid,2021-08-16,2021-06-28,CB,1,0,0.39951208871200167,0,107,51,2021
CHE.lo.ambi.bare.wf.05.09.2,medlup,legume,2021-08-16,2021-06-21,CB,1,0,4.395692466791777,0,121,148,2021
CHE.lo.ambi.bare.wf.05.10.1,plamed,forb,2021-08-16,2021-06-16,CB,1,0,0.758264412196675,0,60,11,2021
CHE.lo.ambi.bare.wf.05.11.3,silvul,forb,2021-08-16,2021-06-24,CB,1,0,4.8474196723435465,0,193,368,2021
CHE.lo.ambi.bare.wf.05.12.2,daucar,forb,2021-08-16,2021-06-21,CB,1,0,1.3478466144576433,0,153,15,2021
CHE.lo.ambi.bare.wf.05.13.2,daucar,forb,2021-08-16,2021-06-21,CB,1,0,4.371399946523135,0,211,23,2021
CHE.lo.ambi.bare.wf.05.14.1,cenjac,forb,2021-08-16,2021-06-16,CB,1,0,1.671107784007949,0,133,37,2021
CHE.lo.ambi.bare.wf.05.15.2,hypper,forb,2021-08-16,2021-06-21,CB,1,0,1.8081477415251321,0,145,522,2021
